pic1,Erie Canal in Seneca Falls NY,/static/DramartsyFinal/Pic1.jpg
pic2,New York Times building in New York City,/static/DramartsyFinal/pic2.jpg
pic3,Philadelphia City Hall in Philadelphia,/static/DramartsyFinal/pic3.jpg
pic4,Philadelphia City Hall in Philadelphia,/static/DramartsyFinal/pic4.jpg
pic5,1810 Liacouras Walk on Temple University Main Campus,/static/DramartsyFinal/pic5.jpg
pic6,Liacouras Walk on Temple University Main Campus at sunset,/static/DramartsyFinal/pic6.jpg
pic7,Road sunset,/static/DramartsyFinal/pic7.jpg
pic8,Road sunset,/static/DramartsyFinal/pic8.jpg
pic9,Street at sunset in Geneva NY,/static/DramartsyFinal/pic9.jpg
pic10,Flatiron Building in New York City,/static/DramartsyFinal/pic10.jpg
pic11,Skywalk in New York City,/static/DramartsyFinal/pic11.jpg
pic12,New York City streetscape,/static/DramartsyFinal/pic12.jpg
pic13,New York City skyscrapers,/static/DramartsyFinal/pic13.jpg
pic14,Bronx streetview near Fordham University,/static/DramartsyFinal/pic14.jpg
pic15,New York City reflecting glass skyscrapers,/static/DramartsyFinal/pic15.jpg
pic16,Shubert Theatre marquis - Broadway,/static/DramartsyFinal/pic16.jpg
pic17,Navy Pier Chicago - Chicago Childrens Museum,/static/DramartsyFinal/pic17.jpg
pic18,Chicago reflecting glass skyscraper,/static/DramartsyFinal/pic18.jpg
pic19,Grant Park Lake Michigan Waterfront in Chicago,/static/DramartsyFinal/pic19.jpg
pic20,Pride flag in Millenium Park - Chicago,/static/DramartsyFinal/pic20.jpg
pic21,Gardens in Millenium Park - Chicago,/static/DramartsyFinal/pic21.jpg
pic22,Tribune Building - Chicago,/static/DramartsyFinal/pic22.jpg
pic23,Halifax Nova Scotia streetscape,/static/DramartsyFinal/pic23.jpg
pic24,Halifax Nova Scotia building construction,/static/DramartsyFinal/pic24.jpg
pic25,Boats in Vancouver British Columbia,/static/DramartsyFinal/pic25.jpg
pic26,Vancouver harbor British Columbia,/static/DramartsyFinal/pic26.jpg
pic27,Large tree - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic27.jpg
pic28,First Nation art - Stanley Park Vancouver British Columbia,/static/DramartsyFinal/pic28.jpg
pic29,Trees in Stanley Park - Vancouver British Columbia,/static/DramartsyFinal/pic29.jpg
pic30,Pedestrian bridge in Stanley Park - Vancouver British Columbia,/static/DramartsyFinal/pic30.jpg
pic31,Vancouver Art Gallery front steps,/static/DramartsyFinal/pic31.jpg
pic32,Vancouver streetscape with refective buildings,/static/DramartsyFinal/pic32.jpg
pic33,Vancouver British Columbia streetscape,/static/DramartsyFinal/pic33.jpg
pic34,Vancouver British Columbia building,/static/DramartsyFinal/pic34.jpg
pic35,Vancouver British Columbia building,/static/DramartsyFinal/pic35.jpg
pic36,Vancouver British Columbia restaurants and residential area,/static/DramartsyFinal/pic36.jpg
pic37,Stanley Park bike trail - Vancouver British Columbia,/static/DramartsyFinal/pic37.jpg
pic38,Vancouver streetscape with refective buildings,/static/DramartsyFinal/pic38.jpg
pic39,Vancouver British Columbia waterfront,/static/DramartsyFinal/pic39.jpg
pic40,Vancouver British Columbia streetscape,/static/DramartsyFinal/pic40.jpg
pic41,Vancouver British Columbia streetscape,/static/DramartsyFinal/pic41.jpg
pic42,Nanaimo Ferry British Columbia,/static/DramartsyFinal/pic42.jpg
pic43,Sunset over Georgia Strait near Parksville British Columbia,/static/DramartsyFinal/pic43.jpg
pic44,Sunset over Georgia Strait near Parksville British Columbia,/static/DramartsyFinal/pic44.jpg
pic45,Old growth forest - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic45.jpg
pic46,Old growth forest - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic46.jpg
pic47,Old growth forest - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic47.jpg
pic48,Old growth forest - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic48.jpg
pic49,Fallen tree over water - Cathedral woods near Victoria,/static/DramartsyFinal/pic49.jpg
pic50,Stream in Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic50.jpg
pic51,Old growth forest - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic51.jpg
pic52,Old growth forest - Cathedral woods near Victoria British Columbia,/static/DramartsyFinal/pic52.jpg
pic53,Sand sculpture in Parksville British Columbia,/static/DramartsyFinal/pic53.jpg
pic54,Victoria British Columbia waterfront,/static/DramartsyFinal/pic54.jpg
pic55,Victoria British Columbia waterfront,/static/DramartsyFinal/pic55.jpg
pic56,Victoria British Columbia waterfront,/static/DramartsyFinal/pic56.jpg
pic57,Victoria British Columbia waterfront,/static/DramartsyFinal/pic57.jpg
pic58,Victoria British Columbia waterfront,/static/DramartsyFinal/pic58.jpg
pic59,Sunset over Victoria harbor,/static/DramartsyFinal/pic59.jpg
pic60,Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic60.jpg
pic61,Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic61.jpg
pic62,Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic62.jpg
pic63,Flowers in Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic63.jpg
pic64,Flowers in Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic64.jpg
pic65,Flowers in Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic65.jpg
pic66,Flowers in Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic66.jpg
pic67,Flowers in Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic67.jpg
pic68,Victoria British Columbia waterfront,/static/DramartsyFinal/pic68.jpg
pic69,Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic69.jpg
pic70,Butchart Gardens Victoria British Columbia,/static/DramartsyFinal/pic70.jpg
pic71,Victoria British Columbia waterfront,/static/DramartsyFinal/pic71.jpg
pic72,Victoria British Columbia waterfront,/static/DramartsyFinal/pic72.jpg
pic73,Hedgehog portrait,/static/DramartsyFinal/pic73.jpg
pic74,Sunset in rear view mirror,/static/DramartsyFinal/pic74.jpg
pic75,Boston streetscape with Christmas lights,/static/DramartsyFinal/pic75.jpg
pic76,Faneuil Hall Boston,/static/DramartsyFinal/pic76.jpg
pic77,USS Constitution Boston harbor,/static/DramartsyFinal/pic77.jpg
pic78,USS Constitution Boston harbor,/static/DramartsyFinal/pic78.jpg
pic79,Sun over Boston harbor,/static/DramartsyFinal/pic79.jpg
pic80,USS Constitution Boston harbor,/static/DramartsyFinal/pic80.jpg
pic81,USS Constitution Boston harbor,/static/DramartsyFinal/pic81.jpg
pic82,Building through fence - Boston,/static/DramartsyFinal/pic82.jpg
pic83,Fence and streetscape - Boston,/static/DramartsyFinal/pic83.jpg
pic84,Classic building with tower,/static/DramartsyFinal/pic84.jpg
pic85,Sullivan Hall Temple University,/static/DramartsyFinal/pic85.jpg
pic86,Philadelphia Center City at night,/static/DramartsyFinal/pic86.jpg
